observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
1764,60220.00955767009,34.0,30.0,i,0.6994552242961426,0.787658423717935,23.88467147275822,326.40829368698223,-39.01387071787915,128.53057080608752
1788,60220.020701738285,34.0,30.0,i,0.8626814021409397,0.9862304162298536,23.561994433527694,307.30155246109223,-68.96105558320505,56.22269501241036
1812,60220.033334165535,34.0,30.0,z,0.6720574728501705,0.7543278258517889,23.31111099011627,323.0954450538153,-37.68626533060827,109.63906796570174
1836,60220.044704489505,34.0,30.0,z,0.6633211116572645,0.7436996492180833,23.252746411242637,317.75924658484854,-62.77274911860139,58.90168873649831
1860,60220.0557548777,34.0,30.0,z,0.652381619656961,0.7303912647894902,23.333588091658548,329.5982199641291,-48.8759543624757,80.33577270030757
1884,60220.06703466249,34.0,30.0,z,0.7160153867454375,0.8078046067462744,23.12962841237293,315.6168408344929,-68.33131497672468,44.47845115318154
1908,60220.07944840978,34.0,30.0,y,0.4808882207055348,0.5217618256758331,22.855876353387828,325.5769026523601,-47.53480856375444,46.5036080218208
1932,60220.09073584235,34.0,30.0,y,0.6970944907514903,0.7847864850991366,22.233047239733374,322.46128124516935,-73.01299926197905,43.480072535585606
1964,60220.98642624637,34.0,30.0,r,0.5490338342837889,0.6046640319754123,24.255361942500446,312.3488782377447,-14.089564966745723,171.48334749270873
2050,60221.0271837934,34.0,30.0,i,0.6212881437056162,0.6925646517099955,24.00671797534862,312.09968802092624,-16.980320588694305,209.2223875251471
2136,60221.06891259577,34.0,30.0,z,0.784317138131685,0.8908967617173783,23.077338461249926,318.63436635356663,-5.566956942414289,227.43220268074833
2222,60221.1115064189,34.0,30.0,g,0.7065936953308382,0.7963426950496815,24.794336700429586,311.807238910636,-62.40858000297175,346.30016209383615
2308,60221.15235976548,34.0,30.0,r,0.7414897073332957,0.8387952643957368,24.219134443477152,320.21253498962307,-28.326338500831834,289.09281653260194
2394,60221.19256866479,34.0,30.0,i,0.8068379987450799,0.9182944023662772,23.317859716395596,317.26099630063476,-29.492661453271914,286.5134777800868
2480,60221.2325858964,34.0,30.0,z,0.6361663275558828,0.7106646320631177,23.202641993054765,346.6665143521239,-30.19319710507597,291.40187933244255
2566,60221.272640922674,34.0,30.0,y,0.8824775948947204,1.0103133757843314,21.640403715926553,323.17662129171424,-42.67501795452382,285.8076358434303
2652,60221.312060207725,34.0,30.0,y,0.6959746045287873,0.7834240931007145,22.242761582099497,9.349567584385877,-28.142203151308376,287.25877790518075
2738,60221.3504759121,34.0,30.0,y,0.6965230574752915,0.7840913107971916,22.219751908612217,18.5298998992023,-50.226532887107744,310.86627968208325
2830,60221.98688801426,34.0,30.0,i,0.674077903049696,0.75678577013345,23.446841387963953,310.83079081863116,-22.87092964990085,59.294079123029604
2915,60222.027867993216,34.0,30.0,z,0.796217933960794,0.9053746155240803,23.06101717413737,336.9602008975047,-18.054857367021498,58.556411320079626
3000,60222.0685417895,34.0,30.0,y,1.1179428830968063,1.2967674976846792,21.594906319054555,300.78258112078515,13.665766302174962,145.00331633000152
3085,60222.1088897674,34.0,30.0,g,0.686991342820089,0.7724955508760207,24.88475541054063,9.955228754307093,-43.75362171572722,7.13670828460934
3170,60222.14909695607,34.0,30.0,z,0.7934162437326501,0.9019662332513991,22.90972747619699,53.537757447354835,-27.854120272164035,46.42912489014887
3255,60222.19033632642,34.0,30.0,y,0.8430324403023945,0.9623265697109422,22.095499034611727,36.0743984996737,-4.5046428792161,79.78343302167936
3340,60222.231216391425,34.0,30.0,z,0.6836208492669095,0.7683951937553644,23.16465200876223,36.0743984996737,-4.5046428792161,100.19811153115175
3425,60222.27163744414,34.0,30.0,i,1.0582277157860707,1.2241213087421785,22.978129944318646,332.5861434184436,-51.1234216843954,200.39902073618987
3510,60222.31089492702,34.0,30.0,z,0.9209445293682053,1.0571101330513446,22.66809265702527,354.9234090231008,-39.29794259895305,196.26363824926878
